-3.14159	6.31717
-2.93215	5.89914
-2.72271	4.71732
-2.51327	2.97606
-2.30383	0.976445
-2.0944	-0.935779
-1.88496	-2.42997
-1.67552	-3.24777
-1.46608	-3.24777
-1.25664	-2.42997
-1.0472	-0.935779
-0.837758	0.976445
-0.628319	2.97606
-0.418879	4.71732
-0.20944	5.89914
0	6.31717
0.20944	5.89914
0.418879	4.71732
0.628319	2.97606
0.837758	0.976445
1.0472	-0.935779
1.25664	-2.42997
1.46608	-3.24777
1.67552	-3.24777
1.88496	-2.42997
2.0944	-0.935779
2.30383	0.976445
2.51327	2.97606
2.72271	4.71732
2.93215	5.89914
3.14159	6.31717
